condition,horizon_label,alpha,c_upd,seed,runtime_sec,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,final_funding_z,final_funding_g,final_vartd,train_final_return_end_mean,train_final_min_dists_end_mean,train_final_occupied_end_mean,train_final_CSR_train,train_final_dbar_end
enabled_full,full,1.0,0.9,30,15.190851167018991,100.0,-24.115966796875,26.0,0.019999999552965164,0.009999999776482582,0.4873235821723938,0.485132098197937,0.38999998569488525,0.3799999952316284,0.7114917635917664,0.7116804122924805,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.2843375504016876,0.7343862652778625,0.1843375265598297,5.227800369262695,-23.644126892089844,1.6156820058822632,0.30400002002716064,0.0,0.538560688495636
enabled_full,full,1.0,0.9,31,2.580911155004287,100.0,-23.133724212646484,26.0,0.0,0.009999999776482582,0.46976399421691895,0.47117000818252563,0.3799999952316284,0.3799999952316284,0.6729034781455994,0.6725878715515137,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.20352357625961304,0.7984471321105957,0.15905702114105225,4.836177825927734,-23.02454376220703,1.7566187381744385,0.18400001525878906,0.0,0.5855395793914795
enabled_full,full,1.0,0.9,32,2.5789358210167848,100.0,-23.645090103149414,26.0,0.0,0.0,0.4847092628479004,0.48513031005859375,0.38999998569488525,0.4099999964237213,0.6983747482299805,0.6973349452018738,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.3953150808811188,0.720825731754303,0.1901841163635254,5.06917142868042,-22.601037979125977,1.5858482122421265,0.4000000059604645,0.0,0.5286160707473755
enabled_full,full,1.0,0.9,33,2.5881085860019084,100.0,-22.831220626831055,26.0,0.009999999776482582,0.0,0.4824243485927582,0.47915297746658325,0.35999998450279236,0.38999998569488525,0.6733607053756714,0.675565242767334,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.20638199150562286,0.7349076867103577,0.18411631882190704,5.164132595062256,-23.117891311645508,1.6168291568756104,0.3680000305175781,0.00800000037997961,0.5389430522918701
enabled_full,full,1.0,0.9,34,2.5840357270208187,100.0,-23.968183517456055,26.0,0.009999999776482582,0.019999999552965164,0.49945661425590515,0.5040137767791748,0.41999998688697815,0.44999998807907104,0.7090412974357605,0.7250141501426697,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.8464291095733643,0.7528963685035706,0.1766459196805954,5.297530651092529,-23.740352630615234,1.6564050912857056,0.2880000174045563,0.0,0.5521350502967834
enabled_full,full,1.0,0.9,35,2.5762478100077715,100.0,-23.17736053466797,26.0,0.0,0.0,0.4511887729167938,0.45883962512016296,0.429999977350235,0.35999998450279236,0.6487204432487488,0.6506052017211914,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.25382351875305176,0.7523704171180725,0.17685997486114502,5.258066654205322,-23.30187225341797,1.6552479267120361,0.2160000056028366,0.0,0.5517493486404419
enabled_full,full,1.0,0.9,36,2.571224113984499,100.0,-23.384490966796875,26.0,0.0,0.0,0.48458462953567505,0.4898628890514374,0.4099999964237213,0.4099999964237213,0.7069830894470215,0.7113369703292847,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,0.38069862127304077,0.756942093372345,0.17500799894332886,4.916184902191162,-22.764211654663086,1.6653058528900146,0.24800001084804535,0.0,0.5551019906997681
enabled_full,full,1.0,0.9,37,2.5683257460186724,100.0,-23.23443603515625,26.0,0.009999999776482582,0.009999999776482582,0.4657423198223114,0.46827828884124756,0.3799999952316284,0.3999999761581421,0.6515105962753296,0.661031186580658,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,1.0,0.7259650230407715,0.18794681131839752,5.116701126098633,-23.03554344177246,1.597154974937439,0.328000009059906,0.0,0.532384991645813
enabled_full,full,1.0,0.9,38,2.552750480012037,100.0,-24.083486557006836,26.0,0.0,0.0,0.48442542552948,0.4816875159740448,0.38999998569488525,0.38999998569488525,0.709365725517273,0.7043440937995911,4.0,104.0,4.0,4.0,0.15705128014087677,49.0,0.17993712425231934,0.7591310739517212,0.17412811517715454,4.748348712921143,-23.36715316772461,1.670121669769287,0.2639999985694885,0.0,0.5567072629928589
enabled_full,full,1.0,0.9,39,2.5438284630072303,100.0,-21.494873046875,26.0,0.0,0.0,0.4729524254798889,0.4660606384277344,0.38999998569488525,0.44999998807907104,0.6800309419631958,0.6808150410652161,4.0,104.0,4.0,4.0,0.15705128014087677,49.0,0.6891093850135803,0.8203636407852173,0.15122944116592407,4.690409183502197,-24.330427169799805,1.8048360347747803,0.2639999985694885,0.0,0.6016120314598083
enabled_full,full,1.0,0.9,40,2.5433460799977183,100.0,-23.76664924621582,26.0,0.009999999776482582,0.009999999776482582,0.4703812599182129,0.46206343173980713,0.550000011920929,0.5600000023841858,0.6865867972373962,0.6743960380554199,4.0,104.0,4.0,4.0,0.15705128014087677,49.0,0.6173486709594727,0.7378943562507629,0.18285447359085083,5.000587463378906,-22.386249542236328,1.6233999729156494,0.29600000381469727,0.0,0.5411333441734314
enabled_full,full,1.0,0.9,41,2.610555499995826,100.0,-22.185100555419922,26.0,0.009999999776482582,0.009999999776482582,0.4438307285308838,0.4421456754207611,0.5600000023841858,0.5299999713897705,0.6652270555496216,0.6651230454444885,4.0,104.0,4.0,4.0,0.1538461595773697,48.0,0.2361583709716797,0.731023907661438,0.1857702136039734,4.638206958770752,-23.10304832458496,1.6082847118377686,0.30400002002716064,0.0,0.5360949039459229
enabled_full,full,1.0,0.9,42,2.64669409499038,100.0,-24.017038345336914,26.0,0.0,0.0,0.48956069350242615,0.4914500117301941,0.3499999940395355,0.4099999964237213,0.6960256695747375,0.6946580410003662,4.0,104.0,4.0,4.0,0.1538461595773697,48.0,0.8011312484741211,0.7307966947555542,0.18586742877960205,4.673072338104248,-23.24393653869629,1.6077848672866821,0.2800000011920929,0.00800000037997961,0.5359283089637756
enabled_full,full,1.0,0.9,43,2.6589407279971056,100.0,-24.348236083984375,26.0,0.0,0.0,0.5070538520812988,0.5111529231071472,0.4099999964237213,0.429999977350235,0.7420313954353333,0.747824490070343,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.7108034491539001,0.7818484902381897,0.16525381803512573,5.1080756187438965,-23.797313690185547,1.720100998878479,0.2240000069141388,0.0,0.5733669996261597
enabled_full,full,1.0,0.9,44,2.676751521998085,100.0,-23.85819435119629,26.0,0.0,0.0,0.4962671399116516,0.4961768090724945,0.429999977350235,0.4099999964237213,0.7208089828491211,0.7227383255958557,4.0,104.0,4.0,4.0,0.15705128014087677,49.0,0.3565385341644287,0.7290014624595642,0.18663734197616577,5.06606388092041,-22.80093002319336,1.6038352251052856,0.29600000381469727,0.0,0.5346117615699768
enabled_full,full,1.0,0.9,45,2.684408479020931,100.0,-22.310731887817383,26.0,0.0,0.0,0.46102771162986755,0.4754304885864258,0.4699999988079071,0.4599999785423279,0.6726816892623901,0.6857399344444275,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.6521813869476318,0.7390491962432861,0.1823689043521881,5.172561168670654,-22.11301612854004,1.6259406805038452,0.2880000174045563,0.0,0.5419802665710449
