condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,30,15.691139705999376,none,0.0,0.0,0.0,1000000,100.0,-25.200225830078125,26.0,0.0,0.0,0.6724503040313721,0.6602495312690735,0.17999999225139618,0.25999999046325684,0.988691508769989,0.9745728969573975,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15309135615825653,-27.69398307800293,0.8301824863468795,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,31,2.954013208998731,none,0.0,0.0,0.0,1000000,100.0,-28.074459075927734,26.0,0.0,0.0,0.7787419557571411,0.7710180282592773,0.17000000178813934,0.17000000178813934,1.1142163276672363,1.1020680665969849,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16349688172340393,-27.391965866088867,-0.33020869032897554,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,32,2.9887352169989754,none,0.0,0.0,0.0,1000000,100.0,-23.69355583190918,26.0,0.0,0.0,0.5224872827529907,0.5165317058563232,0.3799999952316284,0.4899999797344208,0.7688555121421814,0.7803881764411926,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.18601016700267792,-27.503131866455078,1.4384583020142592,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,33,2.8979527179999423,none,0.0,0.0,0.0,1000000,100.0,-25.31313705444336,26.0,0.0,0.0,0.6782103776931763,0.6750922203063965,0.2199999988079071,0.20999999344348907,1.0120171308517456,1.0005384683609009,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16306689381599426,-27.876903533935547,0.7845977417231507,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,34,2.7905350910004927,none,0.0,0.0,0.0,1000000,100.0,-25.09524154663086,26.0,0.0,0.0,0.6352347731590271,0.6314126253128052,0.25999999046325684,0.32999998331069946,0.9319955110549927,0.9219871163368225,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17092740535736084,-27.874622344970703,0.8725669505784294,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,35,2.7709856090004905,none,0.0,0.0,0.0,1000000,100.0,-25.02705955505371,26.0,0.0,0.0,0.6345498561859131,0.6325442790985107,0.28999999165534973,0.26999998092651367,0.9339840412139893,0.9441099166870117,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15691539645195007,-27.76515007019043,0.9000935201595712,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,36,2.850202357998569,none,0.0,0.0,0.0,1000000,100.0,-29.639108657836914,26.0,0.0,0.0,0.9431816935539246,0.9289813041687012,0.11999999731779099,0.14000000059604645,1.2892141342163086,1.2662476301193237,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15677540004253387,-27.92520523071289,-0.9618921391439633,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,37,2.9786661270009063,none,0.0,0.0,0.0,1000000,100.0,-25.09678077697754,26.0,0.0,0.0,0.5936335325241089,0.5966971516609192,0.3400000035762787,0.3499999940395355,0.8811118602752686,0.8766120076179504,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17730285227298737,-27.64829444885254,0.8719455294339422,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,38,2.871130842999264,none,0.0,0.0,0.0,1000000,100.0,-24.877288818359375,26.0,0.0,0.0,0.6845898628234863,0.6811196208000183,0.1899999976158142,0.2199999988079071,0.9488860964775085,0.9430826306343079,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.1512027084827423,-26.804407119750977,0.9605592605914957,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,39,2.8911520410001685,none,0.0,0.0,0.0,1000000,100.0,-25.976640701293945,26.0,0.0,0.0,0.7065731883049011,0.7028197646141052,0.25,0.22999998927116394,1.0055104494094849,1.0083268880844116,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.13135646283626556,-26.229965209960938,0.516726726519551,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,40,2.8061276499993255,none,0.0,0.0,0.0,1000000,100.0,-26.177370071411133,26.0,0.0,0.0,0.7028269171714783,0.7032806277275085,0.19999998807907104,0.2199999988079071,1.0267068147659302,1.0319371223449707,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.1281299740076065,-27.091800689697266,0.43568786500056,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,41,2.741014327000812,none,0.0,0.0,0.0,1000000,100.0,-26.57467269897461,26.0,0.0,0.0,0.6698198318481445,0.670357346534729,0.23999999463558197,0.25999999046325684,0.9666728973388672,0.9651971459388733,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15924027562141418,-27.351940155029297,0.2752880560565526,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,42,2.9042496790007135,none,0.0,0.0,0.0,1000000,100.0,-24.19523048400879,26.0,0.0,0.0,0.6534246206283569,0.6519273519515991,0.25999999046325684,0.17999999225139618,0.9894342422485352,0.9894761443138123,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.172084778547287,-27.918724060058594,1.2359212112270295,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,43,2.840983980000601,none,0.0,0.0,0.0,1000000,100.0,-29.750072479248047,26.0,0.0,0.0,0.9333300590515137,0.9239821434020996,0.03999999910593033,0.07999999821186066,1.3447730541229248,1.3312782049179077,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16183558106422424,-27.312129974365234,-1.00669067436432,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,44,2.9448059249989456,none,0.0,0.0,0.0,1000000,100.0,-24.145353317260742,26.0,0.0,0.0,0.5540908575057983,0.5533486008644104,0.25999999046325684,0.25999999046325684,0.8088131546974182,0.8032121658325195,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14509513974189758,-26.64383316040039,1.2560577204319099,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,45,2.7654051520003122,none,0.0,0.0,0.0,1000000,100.0,-26.317577362060547,26.0,0.0,0.0,0.6919445991516113,0.6841830015182495,0.1599999964237213,0.20999999344348907,0.978682816028595,0.9726836681365967,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.13461248576641083,-26.68807029724121,0.37908309807354074,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,46,2.7641433230000985,none,0.0,0.0,0.0,1000000,100.0,-28.051998138427734,26.0,0.0,0.0,0.8011283278465271,0.8006632328033447,0.25,0.17999999225139618,1.1356943845748901,1.141613245010376,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15269069373607635,-27.29193878173828,-0.32114071585873954,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,47,2.930437205999624,none,0.0,0.0,0.0,1000000,100.0,-24.031341552734375,26.0,0.0,0.0,0.5427258014678955,0.5406011939048767,0.26999998092651367,0.29999998211860657,0.7955707311630249,0.7915844321250916,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.2065119445323944,-28.43828010559082,1.302086777323754,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,48,3.0070162060001167,none,0.0,0.0,0.0,1000000,100.0,-31.453136444091797,26.0,0.0,0.0,1.044795036315918,1.0326499938964844,0.14999999105930328,0.11999999731779099,1.4260663986206055,1.405663013458252,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.19475017488002777,-28.055044174194336,-1.6942550538289813,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,49,2.8592626379995636,none,0.0,0.0,0.0,1000000,100.0,-24.142194747924805,26.0,0.0,0.0,0.6289983987808228,0.63127201795578,0.22999998927116394,0.25999999046325684,0.9231815934181213,0.93107670545578,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17578062415122986,-26.686962127685547,1.257332904341787,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,50,2.9298180989990215,none,0.0,0.0,0.0,1000000,100.0,-24.887733459472656,26.0,0.0,0.0,0.5683465600013733,0.5681164264678955,0.3700000047683716,0.38999998569488525,0.8568617701530457,0.8559311628341675,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14617903530597687,-26.62088394165039,0.9563425292566611,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,51,2.899011896999582,none,0.0,0.0,0.0,1000000,100.0,-25.71695327758789,26.0,0.009999999776482582,0.0,0.6593223214149475,0.6559334397315979,0.1899999976158142,0.1599999964237213,0.9320536851882935,0.9254143834114075,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.1306411474943161,-27.614429473876953,0.6215682509843186,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,52,2.8364662089988997,none,0.0,0.0,0.0,1000000,100.0,-25.975509643554688,26.0,0.0,0.0,0.7396109104156494,0.7268620729446411,0.14999999105930328,0.14999999105930328,1.06533944606781,1.0615798234939575,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17541979253292084,-28.342496871948242,0.517183359405153,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,53,2.7687806180001644,none,0.0,0.0,0.0,1000000,100.0,-24.036224365234375,26.0,0.009999999776482582,0.0,0.5482151508331299,0.5525970458984375,0.3100000023841858,0.3400000035762787,0.8096026182174683,0.8147890567779541,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14837417006492615,-27.355215072631836,1.3001154785258766,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,2.7798091739987285,none,0.0,0.0,0.0,1000000,100.0,-24.373903274536133,26.0,0.019999999552965164,0.019999999552965164,0.6137814521789551,0.6096929311752319,0.29999998211860657,0.3400000035762787,0.8474798202514648,0.8553405404090881,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.1364232897758484,-26.458526611328125,1.1637870759965754,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,55,2.938857586999802,none,0.0,0.0,0.0,1000000,100.0,-25.54981803894043,26.0,0.0,0.0,0.5899312496185303,0.5872218012809753,0.26999998092651367,0.28999999165534973,0.8743453621864319,0.8723313808441162,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.11893203854560852,-26.24088478088379,0.6890444227661945,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,56,2.9218859800002974,none,0.0,0.0,0.0,1000000,100.0,-23.205068588256836,26.0,0.0,0.0,0.5732465982437134,0.5720304846763611,0.2800000011920929,0.26999998092651367,0.8460454344749451,0.8549333214759827,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15012212097644806,-28.237764358520508,1.6356713459700338,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,57,2.903339246999167,none,0.0,0.0,0.0,1000000,100.0,-24.288400650024414,26.0,0.0,0.009999999776482582,0.6102951169013977,0.5978736281394958,0.3400000035762787,0.3199999928474426,0.9256753325462341,0.9072499871253967,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16778984665870667,-27.934547424316406,1.1983063660400315,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,58,2.8610339500010014,none,0.0,0.0,0.0,1000000,100.0,-23.813358306884766,26.0,0.019999999552965164,0.009999999776482582,0.5175871253013611,0.510398268699646,0.41999998688697815,0.429999977350235,0.7408370971679688,0.7394558787345886,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14427758753299713,-26.292953491210938,1.3900914079543072,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,59,2.8057899169998564,none,0.0,0.0,0.0,1000000,100.0,-24.065752029418945,26.0,0.0,0.0,0.6133490204811096,0.613945484161377,0.23999999463558197,0.2199999988079071,0.8907833695411682,0.8950659036636353,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.13387687504291534,-26.326990127563477,1.2881945110688688,1.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,60,3.0776363869990746,none,0.0,0.0,0.0,1000000,100.0,-35.29219436645508,26.0,0.0,0.0,1.1814405918121338,1.1693754196166992,0.029999999329447746,0.04999999701976776,1.57920503616333,1.562273383140564,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17108279466629028,-27.076704025268555,-3.24416717257948,0.0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,61,2.807112058000712,none,0.0,0.0,0.0,1000000,100.0,-24.407140731811523,26.0,0.0,0.0,0.6134756803512573,0.6073645353317261,0.28999999165534973,0.3499999940395355,0.9315816760063171,0.9306100010871887,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16870547831058502,-27.98734474182129,1.1503683834763365,1.0
