update,update_u_mean,update_u_median,update_u_q25,update_u_q75,update_u_min,update_u_max,update_counter_mean,update_counter_median,update_counter_q25,update_counter_q75,update_counter_min,update_counter_max,opt_step_mean,opt_step_median,opt_step_q25,opt_step_q75,opt_step_min,opt_step_max,energy_E_pre_mean,energy_E_pre_median,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_min,energy_E_pre_max,energy_E_post_mean,energy_E_post_median,energy_E_post_q25,energy_E_post_q75,energy_E_post_min,energy_E_post_max,funding_z_mean,funding_z_median,funding_z_q25,funding_z_q75,funding_z_min,funding_z_max,funding_g_mean,funding_g_median,funding_g_q25,funding_g_q75,funding_g_min,funding_g_max,funding_income_mean,funding_income_median,funding_income_q25,funding_income_q75,funding_income_min,funding_income_max,episode_return_end_mean_mean,episode_return_end_mean_median,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_min,episode_return_end_mean_max,episode_len_end_mean_mean,episode_len_end_mean_median,episode_len_end_mean_q25,episode_len_end_mean_q75,episode_len_end_mean_min,episode_len_end_mean_max,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_median,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_min,terminal_min_dists_end_mean_max,terminal_dbar_end_mean,terminal_dbar_end_median,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_min,terminal_dbar_end_max,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_median,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_min,terminal_occupied_end_mean_max,terminal_CSR_train_mean,terminal_CSR_train_median,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_min,terminal_CSR_train_max,terminal_done_count_end_mean,terminal_done_count_end_median,terminal_done_count_end_q25,terminal_done_count_end_q75,terminal_done_count_end_min,terminal_done_count_end_max,vartd_VarTD_mean,vartd_VarTD_median,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_min,vartd_VarTD_max,actor_loss_mean,actor_loss_median,actor_loss_q25,actor_loss_q75,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_median,critic_loss_q25,critic_loss_q75,critic_loss_min,critic_loss_max,entropy_mean,entropy_median,entropy_q25,entropy_q75,entropy_min,entropy_max,total_loss_mean,total_loss_median,total_loss_q25,total_loss_q75,total_loss_min,total_loss_max,ratio0_mean,ratio0_median,ratio0_q25,ratio0_q75,ratio0_min,ratio0_max
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,1.0,1.0,1.0,1.0,1.0,1.0,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.061713,1.0565146,1.035289704799652,1.0840491652488708,0.9859347,1.149726,0.08708553,0.08779822,0.08240674436092377,0.09219610132277012,0.070839256,0.10329167,0.0,0.0,0.0,0.0,0.0,0.0,-27.747822,-27.862654,-28.36602783203125,-27.15242576599121,-29.049818,-26.079153,26.0,26.0,26.0,26.0,26.0,26.0,2.3358154,2.3243785,2.277682840824127,2.3849557042121887,2.1690996,2.5294478,0.7786051,0.7747929,0.7592276483774185,0.7949852347373962,0.7230332,0.8431493,0.153125,0.14999999,0.11999999731779099,0.17999999225139618,0.089999996,0.22999999,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100,100,0.16069847,0.15994966,0.14638379588723183,0.17389604821801186,0.13257045,0.19765435,-0.0006534702,-0.00065999944,-0.0007590548775624484,-0.0004824517964152619,-0.0010923988,-0.00033319707,55.02824,55.62156,52.79143810272217,57.89939022064209,47.815113,61.336998,1.6093221,1.6093222,1.609287977218628,1.6093494892120361,1.609272,1.6093915,27.497372,27.794056,26.37890625,28.932860374450684,23.891033,30.651888,1.0,1.0,1.0,1.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0347683,1.0377661,1.0196824371814728,1.0572471022605896,0.9468434,1.0850856,0.09256628,0.09167276,0.08765041455626488,0.09557486325502396,0.08220805,0.11302034,0.0,0.0,0.0,0.0,0.0,0.0,-27.229237,-27.350138,-27.727367401123047,-27.03534173965454,-28.300093,-25.05293,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.276536,2.2831311,2.243346095085144,2.325990080833435,2.083097,2.387236,0.7588453,0.76104367,0.7477820664644241,0.7753300666809082,0.6943657,0.7957454,0.16000001,0.16000001,0.1340000070631504,0.19200000166893005,0.080000006,0.24800001,0.001,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15785374,0.15969902,0.14871641993522644,0.16991648077964783,0.123813674,0.1894246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0280255,1.0292513,1.0090174674987793,1.0510136485099792,0.96812916,1.0858172,0.09397465,0.093487054,0.08891754038631916,0.09794514626264572,0.08206967,0.1076145,0.0,0.0,0.0,0.0,0.0,0.0,-27.305908,-27.264194,-27.81339931488037,-26.854480743408203,-28.780615,-25.79531,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2617013,2.264398,2.2198827266693115,2.3122761845588684,2.1299267,2.3888457,0.75390047,0.7547994,0.7399609237909317,0.7707587480545044,0.7099756,0.79628193,0.15525001,0.16000001,0.12800000607967377,0.17600001394748688,0.08800001,0.224,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15635757,0.15226752,0.14582178369164467,0.16688817739486694,0.12627712,0.2141577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0488212,1.0406977,1.0230428278446198,1.0723415613174438,0.97747767,1.1839811,0.08970432,0.09105545,0.08465612679719925,0.09483249671757221,0.06546646,0.10532278,0.0,0.0,0.0,0.0,0.0,0.0,-27.621574,-27.452183,-28.1190505027771,-27.11526584625244,-29.983051,-26.234444,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.307453,2.2895806,2.250739097595215,2.3591986298561096,2.1504939,2.6048105,0.769151,0.76319355,0.7502463907003403,0.7863995581865311,0.7168313,0.86827016,0.15075001,0.14400001,0.12800000607967377,0.17000001296401024,0.072000004,0.296,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.16000691,0.15663302,0.14688780158758163,0.17057636007666588,0.1233905,0.21403176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.032067,1.0350403,1.012636810541153,1.052123099565506,0.95296896,1.0934625,0.093126245,0.09224914,0.08869144879281521,0.09713231585919857,0.0806376,0.111437425,0.0,0.0,0.0,0.0,0.0,0.0,-27.37406,-27.458447,-27.811304092407227,-27.076793670654297,-28.573265,-25.823572,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2705925,2.277134,2.2278454303741455,2.31471711397171,2.0965736,2.4056654,0.7568642,0.75904465,0.7426151782274246,0.7715723812580109,0.6988579,0.80188847,0.15175001,0.148,0.12800000607967377,0.1680000126361847,0.112,0.23200001,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15881608,0.15478867,0.14731455221772194,0.1724712960422039,0.1294962,0.19049712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0400908,1.0380529,1.0162608921527863,1.0653842389583588,0.97566545,1.104583,0.09143399,0.091612324,0.0860251747071743,0.09632746316492558,0.07859899,0.10576319,0.0,0.0,0.0,0.0,0.0,0.0,-27.455782,-27.316673,-27.96964454650879,-27.06259059906006,-29.447054,-25.867035,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2882454,2.283762,2.235818564891815,2.3438921570777893,2.1465068,2.4301312,0.7627485,0.761254,0.7452728599309921,0.7812974005937576,0.71550226,0.81004375,0.15325001,0.15200001,0.1340000070631504,0.16200001165270805,0.080000006,0.24800001,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.16101722,0.16169213,0.1451154239475727,0.1711316965520382,0.11963103,0.20982733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0257176,1.0294633,1.0019453167915344,1.0481098592281342,0.97177863,1.1000717,0.0945213,0.09344084,0.08951393142342567,0.09955600649118423,0.07941972,0.106713995,0.0,0.0,0.0,0.0,0.0,0.0,-27.194147,-27.226578,-27.540912628173828,-26.93367910385132,-28.229038,-25.901281,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2566237,2.2648647,2.204323709011078,2.3058876395225525,2.1379557,2.420206,0.752208,0.75495493,0.7347745895385742,0.768629252910614,0.7126519,0.8067354,0.1535,0.148,0.12600000575184822,0.18400001525878906,0.08800001,0.216,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15800008,0.16284117,0.14579643681645393,0.1670975238084793,0.12038816,0.1918368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0406909,1.0416065,1.0150757431983948,1.0571275353431702,0.99362665,1.1227505,0.091282986,0.09086436,0.0876743532717228,0.09658840298652649,0.07537884,0.10147833,0.0,0.0,0.0,0.0,0.0,0.0,-27.404844,-27.340332,-27.788464546203613,-26.810359477996826,-28.83073,-26.136967,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2895658,2.2915802,2.2332111597061157,2.3257269859313965,2.1860223,2.4701004,0.76318866,0.7638601,0.744403749704361,0.77524234354496,0.7286741,0.8233668,0.14475001,0.14400001,0.12800000607967377,0.17600001394748688,0.080000006,0.2,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15851033,0.1550968,0.14686109870672226,0.16568952798843384,0.13113897,0.20710346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0309305,1.021688,1.0034403800964355,1.0533494651317596,0.980061,1.1113261,0.093418844,0.09512967,0.08844039216637611,0.09921101666986942,0.07738804,0.10469815,0.0,0.0,0.0,0.0,0.0,0.0,-27.411385,-27.46854,-27.870837211608887,-26.841333866119385,-28.924915,-25.869385,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2680926,2.2477584,2.207612991333008,2.3174151182174683,2.1561773,2.4449663,0.75603086,0.7492528,0.7358710169792175,0.7724717110395432,0.7187258,0.8149888,0.15850002,0.15600002,0.1340000070631504,0.18400001525878906,0.096,0.24800001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15993455,0.1622025,0.14824187383055687,0.1700328327715397,0.12925504,0.23371878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0307552,1.0262122,1.0055646300315857,1.0586555898189545,0.9572244,1.090712,0.09343683,0.094143175,0.08736647479236126,0.09872689470648766,0.0811499,0.11035081,0.0,0.0,0.0,0.0,0.0,0.0,-27.38361,-27.209806,-27.892465114593506,-26.917863368988037,-28.736261,-26.144653,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2677066,2.257712,2.2122864723205566,2.3290886878967285,2.1059358,2.3996143,0.7559023,0.7525706,0.7374288588762283,0.7763629257678986,0.7019786,0.79987144,0.14950001,0.15200001,0.12800000607967377,0.1680000126361847,0.080000006,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15552187,0.15438089,0.14389002323150635,0.16972685232758522,0.12646309,0.18233053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
