condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_short,learned_R_short_0p5
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,30,13.546499666999807,none,0.0,0.0,0.0,400000,100.0,-25.200225830078125,26.0,0.0,0.0,0.6724503040313721,0.6602495312690735,0.17999999225139618,0.25999999046325684,0.988691508769989,0.9745728969573975,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.15601079165935516,-26.30706024169922,0.41619492882823145,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,31,1.09603157499987,none,0.0,0.0,0.0,400000,100.0,-28.074459075927734,26.0,0.0,0.0,0.7787419557571411,0.7710180282592773,0.17000000178813934,0.17000000178813934,1.1142163276672363,1.1020680665969849,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.16180822253227234,-28.8511905670166,-0.1655433409281871,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,32,1.0938828279995505,none,0.0,0.0,0.0,400000,100.0,-23.69355583190918,26.0,0.0,0.0,0.5224872827529907,0.5165317058563232,0.3799999952316284,0.4899999797344208,0.7688555121421814,0.7803881764411926,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.14721444249153137,-28.038679122924805,0.7211415086141121,1.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,33,1.09162380700036,none,0.0,0.0,0.0,400000,100.0,-25.31313705444336,26.0,0.0,0.0,0.6782103776931763,0.6750922203063965,0.2199999988079071,0.20999999344348907,1.0120171308517456,1.0005384683609009,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.142615407705307,-27.185884475708008,0.39334195390242854,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,34,1.1747399699997914,none,0.0,0.0,0.0,400000,100.0,-25.09524154663086,26.0,0.0,0.0,0.6352347731590271,0.6314126253128052,0.25999999046325684,0.32999998331069946,0.9319955110549927,0.9219871163368225,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.16465920209884644,-26.99108123779297,0.43744350894691864,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,35,1.1725519589999749,none,0.0,0.0,0.0,400000,100.0,-25.02705955505371,26.0,0.0,0.0,0.6345498561859131,0.6325442790985107,0.28999999165534973,0.26999998092651367,0.9339840412139893,0.9441099166870117,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.1323574036359787,-26.56171226501465,0.4512433889204427,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,36,1.1639372680001543,none,0.0,0.0,0.0,400000,100.0,-29.639108657836914,26.0,0.0,0.0,0.9431816935539246,0.9289813041687012,0.11999999731779099,0.14000000059604645,1.2892141342163086,1.2662476301193237,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.16465912759304047,-27.539377212524414,-0.4822248565530244,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,37,1.1198895590005122,none,0.0,0.0,0.0,400000,100.0,-25.09678077697754,26.0,0.0,0.0,0.5936335325241089,0.5966971516609192,0.3400000035762787,0.3499999940395355,0.8811118602752686,0.8766120076179504,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.18936297297477722,-27.2486629486084,0.43713197222667266,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,38,1.1796446770003968,none,0.0,0.0,0.0,400000,100.0,-24.877288818359375,26.0,0.0,0.0,0.6845898628234863,0.6811196208000183,0.1899999976158142,0.2199999988079071,0.9488860964775085,0.9430826306343079,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.15321454405784607,-27.868457794189453,0.48155664528212416,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,39,1.0807246229996963,none,0.0,0.0,0.0,400000,100.0,-25.976640701293945,26.0,0.0,0.0,0.7065731883049011,0.7028197646141052,0.25,0.22999998927116394,1.0055104494094849,1.0083268880844116,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.13999858498573303,-27.536190032958984,0.25905032532520844,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,40,1.1545052669989673,none,0.0,0.0,0.0,400000,100.0,-26.177370071411133,26.0,0.0,0.0,0.7028269171714783,0.7032806277275085,0.19999998807907104,0.2199999988079071,1.0267068147659302,1.0319371223449707,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.14685854315757751,-27.373865127563477,0.2184231574953578,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,41,1.1811467059997085,none,0.0,0.0,0.0,400000,100.0,-26.57467269897461,26.0,0.0,0.0,0.6698198318481445,0.670357346534729,0.23999999463558197,0.25999999046325684,0.9666728973388672,0.9651971459388733,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.1796477735042572,-28.77436637878418,0.13801000958462312,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,42,1.1951898059996893,none,0.0,0.0,0.0,400000,100.0,-24.19523048400879,26.0,0.0,0.0,0.6534246206283569,0.6519273519515991,0.25999999046325684,0.17999999225139618,0.9894342422485352,0.9894761443138123,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.18497076630592346,-28.486541748046875,0.6196037003953457,1.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,43,1.094960780999827,none,0.0,0.0,0.0,400000,100.0,-29.750072479248047,26.0,0.0,0.0,0.9333300590515137,0.9239821434020996,0.03999999910593033,0.07999999821186066,1.3447730541229248,1.3312782049179077,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.19295285642147064,-27.82746124267578,-0.5046836815514776,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,44,1.174858256999869,none,0.0,0.0,0.0,400000,100.0,-24.145353317260742,26.0,0.0,0.0,0.5540908575057983,0.5533486008644104,0.25999999046325684,0.25999999046325684,0.8088131546974182,0.8032121658325195,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.1711081713438034,-27.354652404785156,0.6296987254689926,1.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,45,1.1741661649994057,none,0.0,0.0,0.0,400000,100.0,-26.317577362060547,26.0,0.0,0.0,0.6919445991516113,0.6841830015182495,0.1599999964237213,0.20999999344348907,0.978682816028595,0.9726836681365967,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.15631772577762604,-26.721385955810547,0.1900455208552543,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,46,1.0960586850014806,none,0.0,0.0,0.0,400000,100.0,-28.051998138427734,26.0,0.0,0.0,0.8011283278465271,0.8006632328033447,0.25,0.17999999225139618,1.1356943845748901,1.141613245010376,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.14623507857322693,-26.993806838989258,-0.16099729827934328,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,47,1.1944982069999242,none,0.0,0.0,0.0,400000,100.0,-24.031341552734375,26.0,0.0,0.0,0.5427258014678955,0.5406011939048767,0.26999998092651367,0.29999998211860657,0.7955707311630249,0.7915844321250916,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.1814889758825302,-27.141490936279297,0.6527744472195562,1.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,48,1.0978670509994117,none,0.0,0.0,0.0,400000,100.0,-31.453136444091797,26.0,0.0,0.0,1.044795036315918,1.0326499938964844,0.14999999105930328,0.11999999731779099,1.4260663986206055,1.405663013458252,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.17764511704444885,-26.41057777404785,-0.8493799533740005,0.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,49,1.1829175200000464,none,0.0,0.0,0.0,400000,100.0,-24.142194747924805,26.0,0.0,0.0,0.6289983987808228,0.63127201795578,0.22999998927116394,0.25999999046325684,0.9231815934181213,0.93107670545578,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.1744777262210846,-26.845510482788086,0.6303380127164863,1.0
rescue_short_anchor__base__t400k__a0p00__c0p60,rescue_short,base,short,0.0,0.6,50,1.1767182599996886,none,0.0,0.0,0.0,400000,100.0,-24.887733459472656,26.0,0.0,0.0,0.5683465600013733,0.5681164264678955,0.3700000047683716,0.38999998569488525,0.8568617701530457,0.8559311628341675,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.0,0.0,0.0,0.16276782751083374,-27.542774200439453,0.479442673683528,0.0
